serie,palavras_chave
Breaking Bad,crime; drama; anti-herói; moralidade
Better Call Saul,crime; drama; advogado; anti-herói
The Sopranos,crime; drama; máfia; psicologia
The Wire,crime; drama; cidade; corrupção
Narcos,crime; drama; cartel; política
Peaky Blinders,crime; drama; gangue; poder
Dexter,crime; suspense; serial-killer; moralidade
Mindhunter,crime; psicologia; investigação; serial-killer
True Detective,crime; mistério; investigação; suspense
House of Cards,política; drama; manipulação; poder
Succession,drama; poder; família; empresa
Mad Men,drama; publicidade; identidade; década-1960
The Crown,drama; realeza; política; história
The Americans,espionagem; drama; identidade; família
24,ação; suspense; terrorismo; tempo-real
Prison Break,ação; fuga; suspense; prisão
Vikings,ação; drama; guerra; história
Game of Thrones,fantasia; poder; guerra; intriga
House of the Dragon,fantasia; dinastia; política; dragões
The Witcher,fantasia; magia; monstros; destino
Stranger Things,nostalgia; sobrenatural; amizade; mistério
Dark,tempo; mistério; família; paradoxos
Black Mirror,tecnologia; distopia; crítica; futuro
Westworld,tecnologia; distopia; inteligência-artificial; consciência
The Expanse,ficção-científica; política; espaço; conspiração
Battlestar Galactica,ficção-científica; espaço; sobrevivência; guerra
Lost,mistério; sobrevivência; ilha; segredos
Fringe,ficção-científica; investigação; universos; conspiração
Sherlock,investigação; inteligência; Londres; mistério
Lucifer,fantasia; crime; humor; investigação
Supernatural,fantasia; caça; irmãos; monstros
The Boys,super-heróis; sátira; violência; corrupção
Daredevil,super-heróis; ação; justiça; crime
The Flash,super-heróis; velocidade; amizade; aventura
Arrow,super-heróis; vigilante; ação; crime
The Walking Dead,zumbis; sobrevivência; drama; comunidade
The Last of Us,apocalipse; sobrevivência; afeto; jornada
The Handmaid's Tale,distopia; política; opressão; resistência
Fargo,crime; humor-negro; mistério; violência
The Office,comédia; escritório; cotidiano; ironia
Parks and Recreation,comédia; política-local; amizade; cotidiano
Brooklyn Nine-Nine,comédia; polícia; equipe; humor
Friends,comédia; amizade; romance; cotidiano
How I Met Your Mother,comédia; amizade; romance; narrativa
The Big Bang Theory,comédia; nerds; amizade; romance
Seinfeld,comédia; cotidiano; ironia; neuroses
Community,comédia; universidade; meta-humor; amizade
Modern Family,comédia; família; cotidiano; humor
Silicon Valley,comédia; tecnologia; startups; sátira
BoJack Horseman,animação; comédia; drama; crise
Rick and Morty,animação; ficção-científica; humor; caos
Arcane,animação; fantasia; conflito; política
Death Note,animação; suspense; moralidade; inteligência
Attack on Titan,animação; guerra; mistério; sobrevivência
One Piece,animação; aventura; amizade; piratas
Naruto,animação; ninja; amizade; superação
The Mandalorian,ficção-científica; aventura; caçador; espaço
The Book of Boba Fett,ficção-científica; ação; crime; espaço
